CryptoSwift.o                                      			0.57M
AppDelegate+JPUSHRegister.o                        			0.01M
libJPushExtension.a[5]                             			0.01M
libJVerification.a[14]                             			0.01M
TYRZUISDK[arm64][22]                               			0.01M
libJPush.a[27]                                     			0.01M
UMAPM[14]                                          			0.01M
EvidenceBasedVM.o                                  			0.01M
libJPush.a[32]                                     			0.01M
libJPush.a[48]                                     			0.01M
SpeechMessageDispatcher.o                          			0.01M
libJPush.a[15]                                     			0.01M
libJCore.a[126]                                    			0.01M
EAccountApiSDK[9]                                  			0.01M
libJCore.a[24]                                     			0.01M
libspeechsdk.a[arm64][110]                         			0.01M
ASRModel.o                                         			0.01M
libJCore.a[2]                                      			0.01M
NetworkMonitor.o                                   			0.01M
TYRZUISDK[arm64][23]                               			0.01M
libJPush.a[8]                                      			0.01M
UMAPM[72]                                          			0.01M
libJCore.a[71]                                     			0.01M
libJCore.a[52]                                     			0.01M
UMCommon[3]                                        			0.01M
libspeechsdk.a[arm64][252]                         			0.01M
TYRZUISDK[arm64][54]                               			0.01M
UMAPM[51]                                          			0.01M
UIViewController+Loading.o                         			0.01M
UMCommon[17]                                       			0.01M
libJPush.a[46]                                     			0.01M
libspeechsdk.a[arm64][93]                          			0.01M
UMCommonLog[arm64][3]                              			0.01M
libspeechsdk.a[arm64][82]                          			0.01M
BCSharedPreferencesChanged.o                       			0.01M
UMAPM[5]                                           			0.01M
libJCore.a[77]                                     			0.01M
libJVerification.a[18]                             			0.01M
libspeechsdk.a[arm64][237]                         			0.01M
EAccountApiSDK[31]                                 			0.01M
libJCore.a[118]                                    			0.01M
libJCore.a[95]                                     			0.01M
SDKInitialization.o                                			0.01M
HomePageViewController+AudioCallback.o             			0.01M
libspeechsdk.a[arm64][200]                         			0.01M
UMCommon[23]                                       			0.01M
libJCore.a[45]                                     			0.01M
UMAPM[59]                                          			0.01M
TYRZUISDK[arm64][46]                               			0.01M
UMAPM[28]                                          			0.01M
libJCore.a[63]                                     			0.01M
libJCore.a[60]                                     			0.01M
libJCore.a[128]                                    			0.01M
OAuth[5]                                           			0.01M
libJCore.a[130]                                    			0.01M
TYRZUISDK[arm64][4]                                			0.01M
FLNativeView.o                                     			0.01M
libJVerification.a[29]                             			0.01M
libJCore.a[104]                                    			0.01M
NetworkErrorView.o                                 			0.01M
libspeechsdk.a[arm64][244]                         			0.01M
PermissionManager.o                                			0.01M
libJVerification.a[34]                             			0.01M
TYRZUISDK[arm64][53]                               			0.01M
account_login_sdk_noui_core[arm64][5]              			0.01M
libspeechsdk.a[arm64][307]                         			0.01M
BCShareDirectView.o                                			0.01M
libJVerification.a[17]                             			0.01M
libJCore.a[144]                                    			0.01M
UMAPM[8]                                           			0.01M
TYRZUISDK[arm64][35]                               			0.01M
EBMCardFailedCell.o                                			0.01M
UMAPM[12]                                          			0.00M
UMAPM[4]                                           			0.00M
UMCommon[8]                                        			0.00M
libJPush.a[35]                                     			0.00M
libJCore.a[122]                                    			0.00M
libJCore.a[99]                                     			0.00M
libJCore.a[141]                                    			0.00M
FileIO.o                                           			0.00M
libspeechsdk.a[arm64][291]                         			0.00M
libJCore.a[81]                                     			0.00M
libJVerification.a[9]                              			0.00M
libJPush.a[51]                                     			0.00M
libJCore.a[132]                                    			0.00M
libJPush.a[34]                                     			0.00M
UMAPM[31]                                          			0.00M
libJPush.a[21]                                     			0.00M
libJCore.a[18]                                     			0.00M
TYRZUISDK[arm64][51]                               			0.00M
libJCore.a[66]                                     			0.00M
UMAPM[11]                                          			0.00M
ASRViewModel.o                                     			0.00M
UMAPM[106]                                         			0.00M
libJPush.a[23]                                     			0.00M
LoginHostApi.o                                     			0.00M
libJPush.a[28]                                     			0.00M
libJVerification.a[35]                             			0.00M
libJCore.a[42]                                     			0.00M
libJCore.a[117]                                    			0.00M
libspeechsdk.a[arm64][246]                         			0.00M
libspeechsdk.a[arm64][233]                         			0.00M
UMAPM[103]                                         			0.00M
TYRZUISDK[arm64][37]                               			0.00M
libspeechsdk.a[arm64][292]                         			0.00M
EAccountApiSDK[17]                                 			0.00M
libspeechsdk.a[arm64][287]                         			0.00M
libJCore.a[22]                                     			0.00M
libJPush.a[22]                                     			0.00M
libJCore.a[13]                                     			0.00M
libJCore.a[91]                                     			0.00M
libspeechsdk.a[arm64][117]                         			0.00M
AppDelegate+WXApiDelegate.o                        			0.00M
libspeechsdk.a[arm64][282]                         			0.00M
libJVerification.a[3]                              			0.00M
libJVerification.a[5]                              			0.00M
